DateKey,Date,Year,Quarter,MonthNumber,Month,YearMonth,FiscalYear,FiscalQuarter
20170701,2017-07-01,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170702,2017-07-02,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170703,2017-07-03,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170704,2017-07-04,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170705,2017-07-05,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170706,2017-07-06,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170707,2017-07-07,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170708,2017-07-08,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170709,2017-07-09,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170710,2017-07-10,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170711,2017-07-11,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170712,2017-07-12,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170713,2017-07-13,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170714,2017-07-14,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170715,2017-07-15,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170716,2017-07-16,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170717,2017-07-17,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170718,2017-07-18,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170719,2017-07-19,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170720,2017-07-20,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170721,2017-07-21,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170722,2017-07-22,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170723,2017-07-23,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170724,2017-07-24,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170725,2017-07-25,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170726,2017-07-26,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170727,2017-07-27,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170728,2017-07-28,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170729,2017-07-29,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170730,2017-07-30,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170731,2017-07-31,2017,Q3,7,July,2017-07,FY2018,FY2018 Q1
20170801,2017-08-01,2017,Q3,8,August,2017-08,FY2018,FY2018 Q1
20170802,2017-08-02,2017,Q3,8,August,2017-08,FY2018,FY2018 Q1
20170803,2017-08-03,2017,Q3,8,August,2017-08,FY2018,FY2018 Q1
20170804,2017-08-04,2017,Q3,8,August,2017-08,FY2018,FY2018 Q1
20170805,2017-08-05,2017,Q3,8,August,2017-08,FY2018,FY2018 Q1
20170806,2017-08-06,2017,Q3,8,August,2017-08,FY2018,FY2018 Q1
