TerritoryKey,Region,Country,TerritoryGroup
Canada|Canada|North America,Canada,Canada,North America
France|France|Europe,France,France,Europe
Northwest|United States|North America,Northwest,United States,North America
Southwest|United States|North America,Southwest,United States,North America
Australia|Australia|Pacific,Australia,Australia,Pacific
United Kingdom|United Kingdom|Europe,United Kingdom,United Kingdom,Europe
Germany|Germany|Europe,Germany,Germany,Europe
Southeast|United States|North America,Southeast,United States,North America
Northeast|United States|North America,Northeast,United States,North America
Central|United States|North America,Central,United States,North America
