SalesOrderLine,SalesOrder,DateKey,CustomerKey,ProductKey,TerritoryKey,Channel,OrderQuantity,UnitPrice,SalesAmount,ProductCost,Profit,DiscountPct
SO43697 - 1,SO43697,20170701,21768,310,Canada|Canada|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43698 - 1,SO43698,20170701,28389,346,France|France|Europe,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43699 - 1,SO43699,20170701,25863,346,Northwest|United States|North America,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43700 - 1,SO43700,20170701,14501,336,Southwest|United States|North America,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43701 - 1,SO43701,20170701,11003,346,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43702 - 1,SO43702,20170701,27645,311,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43703 - 1,SO43703,20170701,16624,310,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43704 - 1,SO43704,20170701,11005,351,Australia|Australia|Pacific,Internet,1,3374.99,3374.99,1898.09,1476.90,0.0000
SO43705 - 1,SO43705,20170701,11011,344,Australia|Australia|Pacific,Internet,1,3399.99,3399.99,1912.15,1487.84,0.0000
SO43706 - 1,SO43706,20170702,27621,312,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43707 - 1,SO43707,20170702,27616,312,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43708 - 1,SO43708,20170702,20042,330,United Kingdom|United Kingdom|Europe,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43709 - 1,SO43709,20170702,16351,313,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43710 - 1,SO43710,20170702,16517,314,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43711 - 1,SO43711,20170702,27606,314,Northwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43712 - 1,SO43712,20170702,13513,311,Germany|Germany|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43713 - 1,SO43713,20170703,27601,310,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43714 - 1,SO43714,20170703,13591,311,United Kingdom|United Kingdom|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43715 - 1,SO43715,20170703,16483,314,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43716 - 1,SO43716,20170703,16529,311,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43717 - 1,SO43717,20170703,25249,336,Australia|Australia|Pacific,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43718 - 1,SO43718,20170703,27668,311,Northwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43719 - 1,SO43719,20170703,27612,312,Southwest|United States|North America,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43720 - 1,SO43720,20170703,13264,311,Germany|Germany|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43721 - 1,SO43721,20170703,13590,310,United Kingdom|United Kingdom|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43722 - 1,SO43722,20170704,13581,312,United Kingdom|United Kingdom|Europe,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
SO43723 - 1,SO43723,20170704,14520,332,Northwest|United States|North America,Internet,1,699.10,699.10,413.15,285.95,0.0000
SO43724 - 1,SO43724,20170704,16520,311,Australia|Australia|Pacific,Internet,1,3578.27,3578.27,2171.29,1406.98,0.0000
