WeekStart,Period,ActualSales,TESForecast,ARIMAForecast,SARIMAForecast,XGBoostForecast
2017-06-26,Train,79902.84,,,,
2017-07-03,Train,191286.01,,,,
2017-07-10,Train,220090.69,,,,
2017-07-17,Train,227882.07,,,,
2017-07-24,Train,214867.19,,,,
2017-07-31,Train,138928.67,,,,
2017-08-07,Train,98443.29,,,,
2017-08-14,Train,111789.73,,,,
2017-08-21,Train,129573.31,,,,
2017-08-28,Train,84015.95,,,,
2017-09-04,Train,152549.14,,,,
2017-09-11,Train,135642.94,,,,
2017-09-18,Train,84219.23,,,,
2017-09-25,Train,129127.73,,,,
2017-10-02,Train,141229.25,,,,
2017-10-09,Train,159324.12,,,,
2017-10-16,Train,92239.13,,,,
2017-10-23,Train,119734.63,,,,
2017-10-30,Train,153712.57,,,,
2017-11-06,Train,186997.90,,,,
2017-11-13,Train,191103.24,,,,
2017-11-20,Train,148837.86,,,,
2017-11-27,Train,146873.57,,,,
2017-12-04,Train,126662.89,,,,
2017-12-11,Train,151696.76,,,,
2017-12-18,Train,138375.08,,,,
2017-12-25,Train,126605.12,,,,
2018-01-01,Train,140015.82,,,,
2018-01-08,Train,165731.32,,,,
2018-01-15,Train,101729.02,,,,
2018-01-22,Train,143137.29,,,,
2018-01-29,Train,153451.52,,,,
2018-02-05,Train,134454.51,,,,
2018-02-12,Train,144971.78,,,,
2018-02-19,Train,164625.66,,,,
2018-02-26,Train,122385.52,,,,
2018-03-05,Train,141967.61,,,,
2018-03-12,Train,157480.10,,,,
2018-03-19,Train,142538.43,,,,
2018-03-26,Train,194770.53,,,,
2018-04-02,Train,149784.23,,,,
2018-04-09,Train,191146.99,,,,
2018-04-16,Train,155071.75,,,,
2018-04-23,Train,110348.02,,,,
2018-04-30,Train,151900.04,,,,
2018-05-07,Train,145086.04,,,,
2018-05-14,Train,160182.75,,,,
2018-05-21,Train,173141.38,,,,
2018-05-28,Train,130824.46,,,,
2018-06-04,Train,112211.21,,,,
2018-06-11,Train,115733.71,,,,
2018-06-18,Train,109785.59,,,,
2018-06-25,Train,108172.66,,,,
2018-07-02,Train,124837.39,,,,
2018-07-09,Train,112651.15,,,,
2018-07-16,Train,130489.71,,,,
2018-07-23,Train,124804.18,,,,
2018-07-30,Train,82690.95,,,,
2018-08-06,Train,98390.17,,,,
2018-08-13,Train,86008.65,,,,
2018-08-20,Train,77282.71,,,,
2018-08-27,Train,83625.14,,,,
2018-09-03,Train,73703.97,,,,
2018-09-10,Train,103226.06,,,,
2018-09-17,Train,110548.15,,,,
2018-09-24,Train,84506.97,,,,
2018-10-01,Train,66512.77,,,,
2018-10-08,Train,78571.18,,,,
2018-10-15,Train,76752.87,,,,
2018-10-22,Train,86789.80,,,,
2018-10-29,Train,115492.29,,,,
2018-11-05,Train,152615.07,,,,
2018-11-12,Train,142045.54,,,,
2018-11-19,Train,112303.86,,,,
2018-11-26,Train,116177.77,,,,
2018-12-03,Train,100545.81,,,,
2018-12-10,Train,107534.61,,,,
2018-12-17,Train,101608.92,,,,
2018-12-24,Train,83508.03,,,,
2018-12-31,Train,135289.24,,,,
2019-01-07,Train,118547.75,,,,
2019-01-14,Train,132960.66,,,,
2019-01-21,Train,102292.75,,,,
2019-01-28,Train,108857.82,,,,
2019-02-04,Train,120815.31,,,,
2019-02-11,Train,117772.82,,,,
2019-02-18,Train,78837.67,,,,
2019-02-25,Train,132233.78,,,,
2019-03-04,Train,122833.21,,,,
2019-03-11,Train,134640.32,,,,
2019-03-18,Train,100303.43,,,,
2019-03-25,Train,119630.61,,,,
2019-04-01,Train,139351.70,,,,
2019-04-08,Train,107665.85,,,,
2019-04-15,Train,107447.71,,,,
2019-04-22,Train,137900.43,,,,
2019-04-29,Train,129669.92,,,,
2019-05-06,Train,147656.89,,,,
2019-05-13,Train,124897.84,,,,
2019-05-20,Train,124706.35,,,,
2019-05-27,Train,181538.20,,,,
2019-06-03,Train,200063.57,,,,
2019-06-10,Train,180784.49,,,,
2019-06-17,Train,199368.86,,,,
2019-06-24,Train,201683.08,,,,
2019-07-01,Train,198934.92,,,,
